year,quarter,state_name/ut_name,districts_name,registered_users
2021,4,karnataka,dakshina kannada district,912133
2021,4,karnataka,hassan district,606707
2021,4,karnataka,dharwad district,873847
2021,4,karnataka,shivamogga district,606024
2021,4,karnataka,udupi district,466878
2021,4,karnataka,gadag district,278180
2022,1,karnataka,mysuru district,1410095
2022,1,karnataka,chitradurga district,476042
2022,1,karnataka,kalaburagi district,788989
2022,1,karnataka,ramanagara district,507965
2022,1,karnataka,mandya district,599734
2022,1,karnataka,kodagu district,198895
2022,1,karnataka,chikkamagaluru district,381212
2022,1,karnataka,haveri district,388930
2022,1,karnataka,ballari district,926458
2022,1,karnataka,belagavi district,1477767
2022,1,karnataka,kolar district,697883
2022,1,karnataka,uttara kannada district,448070
2022,1,karnataka,tumakuru district,966743
2022,1,karnataka,yadgir district,252073
2022,1,karnataka,bengaluru urban district,12707664
2022,1,karnataka,chikkaballapura district,488750
2022,1,karnataka,davanagere district,662751
2022,1,karnataka,bagalkote district,589114
2022,1,karnataka,vijayapura district,714643
2022,1,karnataka,koppal district,381091
2022,1,karnataka,bidar district,540642
2022,1,karnataka,bengaluru rural district,833284
2022,1,karnataka,raichur district,562507
2022,1,karnataka,chamarajanagara district,229823
2022,1,karnataka,dakshina kannada district,965225
2022,1,karnataka,hassan district,644154
2022,1,karnataka,dharwad district,925787
2022,1,karnataka,shivamogga district,643097
2022,1,karnataka,udupi district,494914
2022,1,karnataka,gadag district,296047
2022,2,karnataka,mysuru district,1482427
2022,2,karnataka,chitradurga district,502600
2022,2,karnataka,kalaburagi district,831684
2022,2,karnataka,ramanagara district,535182
2022,2,karnataka,mandya district,632244
2022,2,karnataka,kodagu district,209364
2022,2,karnataka,chikkamagaluru district,401827
2022,2,karnataka,haveri district,410677
2022,2,karnataka,ballari district,977999
2022,2,karnataka,belagavi district,1556041
2022,2,karnataka,kolar district,735683
2022,2,karnataka,uttara kannada district,472053
2022,2,karnataka,tumakuru district,1018947
2022,2,karnataka,yadgir district,266445
2022,2,karnataka,bengaluru urban district,13342916
2022,2,karnataka,chikkaballapura district,515355
2022,2,karnataka,davanagere district,698130
2022,2,karnataka,bagalkote district,621654
2022,2,karnataka,vijayapura district,753598
