year,quarter,state_name/ut_name,districts_name,total_transactions_count,total_transactions_amount
2020,3,jharkhand,godda district,64,13181.0
2020,3,jharkhand,deoghar district,97,20112.0
2020,3,jharkhand,palamu district,121,24683.0
2020,3,jharkhand,latehar district,56,14762.0
2020,3,jharkhand,west singhbhum district,88,22388.0
2020,3,jharkhand,pakur district,19,4473.0
2020,3,jharkhand,lohardaga district,19,4039.0
2020,3,jharkhand,sahebganj district,58,14523.0
2020,3,jharkhand,giridih district,144,32688.0
2020,3,jharkhand,bokaro district,412,118920.0
2020,4,jharkhand,ramgarh district,172,123911.0
2020,4,jharkhand,ranchi district,670,559639.0
2020,4,jharkhand,east singhbhum district,426,349290.0
2020,4,jharkhand,jamtara district,27,21212.0
2020,4,jharkhand,dumka district,50,30957.0
2020,4,jharkhand,koderma district,90,58807.0
2020,4,jharkhand,hazaribagh district,201,137221.0
2020,4,jharkhand,simdega district,31,59161.0
2020,4,jharkhand,garhwa district,121,99467.0
2020,4,jharkhand,saraikela kharsawan district,133,103772.0
2020,4,jharkhand,gumla district,45,53802.0
2020,4,jharkhand,chatra district,68,72700.0
2020,4,jharkhand,khunti district,22,14654.0
2020,4,jharkhand,dhanbad district,553,360209.0
2020,4,jharkhand,godda district,58,48432.0
2020,4,jharkhand,deoghar district,96,70532.0
2020,4,jharkhand,palamu district,216,179548.0
2020,4,jharkhand,latehar district,50,35737.0
2020,4,jharkhand,west singhbhum district,84,62701.0
2020,4,jharkhand,pakur district,24,9298.0
2020,4,jharkhand,lohardaga district,31,28363.0
2020,4,jharkhand,sahebganj district,57,53731.0
2020,4,jharkhand,giridih district,138,92474.0
2020,4,jharkhand,bokaro district,296,231406.0
2021,1,jharkhand,ramgarh district,204,131405.0
2021,1,jharkhand,ranchi district,1026,734770.0
2021,1,jharkhand,east singhbhum district,625,404402.0
2021,1,jharkhand,jamtara district,38,18540.0
2021,1,jharkhand,dumka district,80,49753.0
2021,1,jharkhand,koderma district,105,70712.0
2021,1,jharkhand,hazaribagh district,271,134641.0
2021,1,jharkhand,simdega district,65,55468.0
2021,1,jharkhand,garhwa district,158,144421.0
2021,1,jharkhand,saraikela kharsawan district,153,93522.0
2021,1,jharkhand,gumla district,67,57850.0
2021,1,jharkhand,chatra district,97,51594.0
2021,1,jharkhand,khunti district,35,30639.0
2021,1,jharkhand,dhanbad district,570,392616.0
2021,1,jharkhand,godda district,85,53107.0
2021,1,jharkhand,deoghar district,135,72035.0
2021,1,jharkhand,palamu district,271,186504.0
2021,1,jharkhand,latehar district,66,34684.0
2021,1,jharkhand,west singhbhum district,91,79765.0
2021,1,jharkhand,pakur district,41,36195.0
2021,1,jharkhand,lohardaga district,37,28508.0
2021,1,jharkhand,sahebganj district,72,46009.0
2021,1,jharkhand,giridih district,184,108108.0
2021,1,jharkhand,bokaro district,403,259603.0
2021,2,jharkhand,ramgarh district,191,199495.0
2021,2,jharkhand,ranchi district,1116,1206771.0
2021,2,jharkhand,east singhbhum district,789,715258.0
2021,2,jharkhand,jamtara district,28,14300.0
2021,2,jharkhand,dumka district,81,66777.0
2021,2,jharkhand,koderma district,123,99393.0
2021,2,jharkhand,hazaribagh district,236,199302.0
2021,2,jharkhand,simdega district,50,56762.0
2021,2,jharkhand,garhwa district,159,161183.0
2021,2,jharkhand,saraikela kharsawan district,190,136575.0
2021,2,jharkhand,gumla district,60,57744.0
2021,2,jharkhand,chatra district,92,82667.0
2021,2,jharkhand,khunti district,47,60531.0
2021,2,jharkhand,dhanbad district,562,542379.0
2021,2,jharkhand,godda district,115,114144.0
