year,quarter,entity_type,entity_name,transaction_type,count,amount
2019,1,districts,north,TOTAL,15810,42949466.65663589
2019,1,pincodes,737101,TOTAL,74498,118108022.59828645
2019,1,pincodes,737102,TOTAL,21109,50167286.50498513
2019,1,pincodes,737132,TOTAL,18576,33157853.812782735
2019,1,pincodes,737134,TOTAL,17417,30929894.245465152
2019,1,pincodes,737135,TOTAL,16362,31811430.364247143
2019,1,pincodes,737136,TOTAL,14393,21078097.180940896
2019,1,pincodes,737139,TOTAL,11200,11367960.965816453
2019,1,pincodes,737113,TOTAL,10400,25036622.86210318
2019,1,pincodes,737126,TOTAL,8854,20006886.68322835
2019,1,pincodes,737120,TOTAL,8824,25342420.050538853
2019,2,districts,east,TOTAL,297652,538259507.8024242
2019,2,districts,south,TOTAL,45712,82937894.82004634
2019,2,districts,west,TOTAL,26024,63325567.84238531
2019,2,districts,north,TOTAL,18856,54371272.971085116
2019,2,pincodes,737101,TOTAL,210317,320406038.0351463
2019,2,pincodes,737102,TOTAL,24154,64795365.565028735
2019,2,pincodes,737132,TOTAL,18971,36887058.43025703
2019,2,pincodes,737134,TOTAL,17748,35346089.91961202
2019,2,pincodes,737135,TOTAL,16399,36945172.900931306
2019,2,pincodes,737113,TOTAL,14288,37325640.05972132
2019,2,pincodes,737136,TOTAL,12919,21067430.212100577
2019,2,pincodes,737120,TOTAL,11562,36545078.1041833
2019,2,pincodes,737126,TOTAL,9748,23480406.616069004
2019,2,pincodes,737103,TOTAL,9511,32108557.49722778
2019,3,districts,east,TOTAL,429201,643298304.6767757
2019,3,districts,south,TOTAL,61142,106415589.26391001
2019,3,districts,west,TOTAL,33550,66514136.575647816
2019,3,districts,north,TOTAL,28543,68488417.92409426
2019,3,pincodes,737101,TOTAL,310087,394711071.83428097
2019,3,pincodes,737102,TOTAL,32914,76983431.7127036
2019,3,pincodes,737132,TOTAL,26828,46674446.39052241
2019,3,pincodes,737134,TOTAL,23625,43190098.96401493
2019,3,pincodes,737135,TOTAL,22979,44953253.44049364
2019,3,pincodes,737120,TOTAL,18083,46382018.67211348
2019,3,pincodes,737136,TOTAL,17566,26387237.496077325
2019,3,pincodes,737113,TOTAL,17217,37733943.18239926
2019,3,pincodes,737126,TOTAL,14129,28436392.270060927
2019,3,pincodes,737103,TOTAL,11489,28161212.786410965
2019,4,districts,east,TOTAL,616761,877636921.1534436
2019,4,districts,south,TOTAL,73099,121803196.14604723
2019,4,districts,west,TOTAL,43955,92445262.76900172
2019,4,districts,north,TOTAL,33255,84624221.58772576
2019,4,pincodes,737101,TOTAL,477056,567811576.1273177
2019,4,pincodes,737102,TOTAL,36686,91018557.14116079
2019,4,pincodes,737132,TOTAL,30341,54437850.415528685
2019,4,pincodes,737135,TOTAL,27684,51758366.279735565
2019,4,pincodes,737134,TOTAL,27482,53701004.07841767
2019,4,pincodes,737113,TOTAL,21140,49605023.06090254
2019,4,pincodes,737136,TOTAL,20329,29141715.824643686
2019,4,pincodes,737120,TOTAL,19877,52411868.43038558
2019,4,pincodes,737126,TOTAL,17731,36781344.80839277
2019,4,pincodes,737121,TOTAL,14876,26432352.62999324
2020,1,districts,east,TOTAL,360279,729478141.568978
2020,1,districts,south,TOTAL,82456,138401236.4081525
2020,1,districts,west,TOTAL,49913,100981561.51060595
2020,1,districts,north,TOTAL,35470,84615332.45666516
2020,1,pincodes,737101,TOTAL,198806,401678944.0832668
2020,1,pincodes,737102,TOTAL,39914,88772696.59716484
2020,1,pincodes,737132,TOTAL,34812,62301799.7090806
2020,1,pincodes,737134,TOTAL,33365,60978284.12445666
2020,1,pincodes,737135,TOTAL,32484,60406556.55173436
2020,1,pincodes,737136,TOTAL,23977,31562106.466452874
2020,1,pincodes,737113,TOTAL,23512,53543544.94433001
2020,1,pincodes,737126,TOTAL,21299,43678592.89017106
2020,1,pincodes,737120,TOTAL,20694,52272287.16991089
2020,1,pincodes,737121,TOTAL,17254,27168214.38679769
2020,2,districts,east,TOTAL,304581,653853477.4965272
2020,2,districts,south,TOTAL,95669,152837659.21956825
2020,2,districts,west,TOTAL,69860,121265798.69496223
2020,2,districts,north,TOTAL,47621,126661852.85020877
2020,2,pincodes,737101,TOTAL,99514,241524817.7601629
2020,2,pincodes,737102,TOTAL,48169,110771511.12969662
2020,2,pincodes,737134,TOTAL,47609,79692784.39264867
2020,2,pincodes,737132,TOTAL,44831,77172228.21265629
2020,2,pincodes,737135,TOTAL,40423,78103532.51790954
2020,2,pincodes,737113,TOTAL,30686,62990274.249189
2020,2,pincodes,737126,TOTAL,30265,50056768.69557366
2020,2,pincodes,737120,TOTAL,26448,83171870.67539173
2020,2,pincodes,737121,TOTAL,25732,34021829.586665384
2020,2,pincodes,737136,TOTAL,19239,32007761.345463865
2020,3,districts,east,TOTAL,353881,869648385.4220288
2020,3,districts,south,TOTAL,104888,202497013.7266165
2020,3,districts,west,TOTAL,79994,165556236.37028116
2020,3,districts,north,TOTAL,57672,163225093.14147198
2020,3,pincodes,737101,TOTAL,123677,363123445.92071867
2020,3,pincodes,737102,TOTAL,59676,148498181.61173043
2020,3,pincodes,737134,TOTAL,52215,103125997.98284647
2020,3,pincodes,737132,TOTAL,47333,92166014.71236712
2020,3,pincodes,737135,TOTAL,43495,84621036.76003131
2020,3,pincodes,737113,TOTAL,35604,84066020.05543599
2020,3,pincodes,737126,TOTAL,34340,67249097.61629468
2020,3,pincodes,737120,TOTAL,32188,108277311.85844661
2020,3,pincodes,737121,TOTAL,29690,47548419.72318309
2020,3,pincodes,737103,TOTAL,22543,58794910.05378474
2020,4,districts,east,TOTAL,428732,1129627876.1171594
2020,4,districts,south,TOTAL,130339,292804584.22659683
2020,4,districts,west,TOTAL,95163,245657098.12953636
2020,4,districts,north,TOTAL,80801,251186246.6496318
2020,4,pincodes,737101,TOTAL,137621,401393359.3730345
2020,4,pincodes,737102,TOTAL,74462,206942913.8594391
2020,4,pincodes,737134,TOTAL,63754,144436140.52819106
2020,4,pincodes,737132,TOTAL,59211,130294975.41495967
2020,4,pincodes,737135,TOTAL,57488,127733770.72283357
2020,4,pincodes,737120,TOTAL,49743,170500424.5865497
2020,4,pincodes,737113,TOTAL,43961,123348464.12495862
2020,4,pincodes,737126,TOTAL,40905,101486444.10675268
2020,4,pincodes,737121,TOTAL,33882,73139191.13560003
2020,4,pincodes,737103,TOTAL,28640,80259744.7201464
2021,1,districts,east,TOTAL,516158,1432658383.1323361
2021,1,districts,south,TOTAL,127233,310128541.24028677
2021,1,districts,west,TOTAL,88532,254432217.49525505
2021,1,districts,north,TOTAL,68266,220448584.97284672
2021,1,pincodes,737101,TOTAL,230314,651230894.2642756
2021,1,pincodes,737102,TOTAL,72036,214023413.27972007
2021,1,pincodes,737134,TOTAL,64481,163867637.42218336
2021,1,pincodes,737132,TOTAL,59993,137681981.3199845
2021,1,pincodes,737135,TOTAL,54828,140060691.11294314
2021,1,pincodes,737113,TOTAL,42491,133107495.42030288
2021,1,pincodes,737120,TOTAL,40210,141595710.6292783
2021,1,pincodes,737126,TOTAL,37841,103228998.99647489
2021,1,pincodes,737136,TOTAL,30655,61822486.69976698
2021,1,pincodes,737121,TOTAL,30224,73885821.60314554
2021,2,districts,east,TOTAL,635504,1575867390.7924504
2021,2,districts,south,TOTAL,157530,344012187.23706484
2021,2,districts,west,TOTAL,102322,248942844.21008107
2021,2,districts,north,TOTAL,81358,256077157.43570048
2021,2,pincodes,737101,TOTAL,297452,724746706.3079436
2021,2,pincodes,737102,TOTAL,83039,235934839.12091917
2021,2,pincodes,737134,TOTAL,81870,194136137.0047333
2021,2,pincodes,737132,TOTAL,73086,156852033.9636291
2021,2,pincodes,737135,TOTAL,62588,143959958.98430628
2021,2,pincodes,737120,TOTAL,49090,176166209.40985945
2021,2,pincodes,737126,TOTAL,45574,109012656.35644796
2021,2,pincodes,737113,TOTAL,44882,120520637.56860521
2021,2,pincodes,737121,TOTAL,38319,76655631.82284465
2021,2,pincodes,737136,TOTAL,35750,66186273.85267018
2021,3,districts,east,TOTAL,757493,1937906268.9017417
2021,3,districts,south,TOTAL,188063,416609481.7028275
2021,3,districts,west,TOTAL,116665,312940476.1654819
2021,3,districts,north,TOTAL,98373,321880637.0383413
2021,3,pincodes,737101,TOTAL,338734,867802298.5562382
2021,3,pincodes,737102,TOTAL,107611,301811282.78679377
2021,3,pincodes,737134,TOTAL,98557,239292130.0790186
2021,3,pincodes,737132,TOTAL,94310,192316407.61074328
2021,3,pincodes,737135,TOTAL,75667,174940398.5357872
2021,3,pincodes,737120,TOTAL,59528,222956316.01389608
2021,3,pincodes,737126,TOTAL,56216,137954758.18257964
2021,3,pincodes,737113,TOTAL,54713,159430410.3695603
2021,3,pincodes,737136,TOTAL,44864,81576523.34531628
2021,3,pincodes,737121,TOTAL,41335,92795839.6474207
2021,4,districts,east,TOTAL,1071092,2791933180.3838186
2021,4,districts,south,TOTAL,238464,546711693.4617904
2021,4,districts,west,TOTAL,146397,436365769.1449038
2021,4,districts,north,TOTAL,128392,421772618.64529496
2021,4,pincodes,737101,TOTAL,541997,1401565372.8342977
2021,4,pincodes,737102,TOTAL,138476,387413440.3597043
2021,4,pincodes,737132,TOTAL,118733,235216438.10757113
2021,4,pincodes,737134,TOTAL,117138,284731076.7632046
2021,4,pincodes,737135,TOTAL,89908,222979795.43140694
2021,4,pincodes,737120,TOTAL,78184,274703246.6532579
2021,4,pincodes,737113,TOTAL,72748,232954032.47956002
2021,4,pincodes,737126,TOTAL,71150,192812272.7765864
2021,4,pincodes,737136,TOTAL,58616,104773159.44339293
2021,4,pincodes,737103,TOTAL,56402,184698962.32679385
2022,1,districts,east,TOTAL,1173942,2887894588.7435055
2022,1,districts,south,TOTAL,281076,619438912.3531296
2022,1,districts,west,TOTAL,165446,468296204.3106276
2022,1,districts,north,TOTAL,123838,391801570.45615834
2022,1,pincodes,737101,TOTAL,572571,1429425945.961132
2022,1,pincodes,737102,TOTAL,150873,368906458.41561985
2022,1,pincodes,737132,TOTAL,144605,277500079.0930386
2022,1,pincodes,737134,TOTAL,137930,331402064.1726658
2022,1,pincodes,737135,TOTAL,106025,253796966.43059132
2022,1,pincodes,737126,TOTAL,81954,208000061.704278
2022,1,pincodes,737113,TOTAL,80419,240985978.0209565
2022,1,pincodes,737136,TOTAL,75513,124929431.68879786
2022,1,pincodes,737120,TOTAL,70343,239867347.3280994
2022,1,pincodes,737121,TOTAL,56322,138726250.37673736
2022,2,districts,east,TOTAL,1540255,3736097005.542384
2022,2,districts,south,TOTAL,391808,756330708.2028979
2022,2,districts,west,TOTAL,215921,578171483.8935817
2022,2,districts,north,TOTAL,174097,540506472.6682708
2022,2,pincodes,737101,TOTAL,766826,1908886120.2727275
2022,2,pincodes,737102,TOTAL,209601,530663891.528832
2022,2,pincodes,737132,TOTAL,180548,323305054.1533619
2022,2,pincodes,737134,TOTAL,163476,367603628.9518961
2022,2,pincodes,737135,TOTAL,137789,286425187.3430251
